                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6336,                  3.879,                 4.3079,                0.00714,                0.13042,                0.01028,                0.00381,                 3.4453,                 3.9139,                  4.158,             0.00020004,             0.00020004,             0.00020004
                      1,                   3.56,                 3.6888,                 4.2015,                0.00739,                0.13517,                0.01144,                0.00355,                 3.4386,                 3.9166,                 4.1525,             0.00041469,             0.00041469,             0.00041469
                      2,                 3.4386,                 3.5629,                 4.1201,                0.00742,                0.12975,                0.00835,                 0.0032,                 3.4352,                 3.9414,                  4.147,             0.00062719,             0.00062719,             0.00062719
                      3,                 3.3679,                  3.319,                 3.9413,                0.00758,                0.12975,                0.00768,                0.00307,                 3.4761,                 4.0497,                 4.2043,             0.00083754,             0.00083754,             0.00083754
                      4,                 3.3187,                 3.2824,                 3.7948,                0.01086,                0.11958,                0.01689,                 0.0055,                 3.5855,                 4.3873,                 4.3807,              0.0010458,              0.0010458,              0.0010458
                      5,                  3.262,                  3.234,                 3.6589,                0.00698,                0.12636,                0.01367,                0.00554,                  3.412,                 4.4979,                 4.3379,              0.0012518,              0.0012518,              0.0012518
                      6,                 3.1983,                 3.1877,                 3.4921,                0.00746,                0.12729,                0.01168,                0.00392,                 3.3443,                 4.6989,                 4.3051,              0.0014557,              0.0014557,              0.0014557
                      7,                 3.1444,                 3.1608,                 3.4114,                0.00714,                0.12102,                0.00851,                0.00288,                 3.3313,                 4.7768,                 4.2103,              0.0016092,              0.0016092,              0.0016092
                      8,                 3.1362,                 3.1746,                 3.3917,                0.52154,                0.02371,                0.00687,                 0.0025,                 3.4142,                 4.4098,                 4.1504,              0.0016092,              0.0016092,              0.0016092
                      9,                  3.107,                 3.1022,                 3.3417,                0.52184,                0.00949,                0.00548,                0.00184,                 3.3254,                 3.9548,                 3.9056,               0.001601,               0.001601,               0.001601
                     10,                 2.9976,                 3.0557,                  3.223,                0.54892,                0.02778,                0.01177,                0.00327,                   3.12,                 3.5945,                 3.5093,              0.0015927,              0.0015927,              0.0015927
                     11,                 3.0227,                 3.0714,                 3.2324,                0.04931,                 0.0393,                0.01422,                0.00434,                 3.1244,                 3.5922,                 3.5644,              0.0015845,              0.0015845,              0.0015845
                     12,                 3.0218,                 2.9786,                 3.1423,                 0.5599,                0.07588,                0.03323,                0.00949,                 2.9661,                 3.4108,                 3.4194,              0.0015762,              0.0015762,              0.0015762
                     13,                 2.9244,                 2.9724,                 3.1884,                0.06379,                0.07004,                0.02856,                0.00867,                 2.8458,                  3.433,                 3.2556,               0.001568,               0.001568,               0.001568
                     14,                 2.8575,                 2.9516,                 3.1154,                0.03539,                0.10197,                0.01835,                0.00536,                 2.8664,                 3.6575,                 3.2861,              0.0015597,              0.0015597,              0.0015597
                     15,                 2.8753,                 2.9381,                 3.0788,                0.05745,                0.06259,                0.02604,                0.00735,                 2.9109,                 3.4651,                 3.2645,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.8186,                 2.8666,                 3.0565,                0.10348,                0.08469,                0.05025,                0.01568,                 2.8326,                 3.2377,                  3.282,              0.0015432,              0.0015432,              0.0015432
                     17,                  2.798,                 2.8817,                 3.0373,                0.07942,                0.07241,                0.03321,                0.01098,                 2.7356,                 3.2369,                 3.1173,               0.001535,               0.001535,               0.001535
                     18,                 2.7516,                   2.88,                 2.9907,                0.14158,                 0.1527,                 0.0416,                0.01241,                 2.6957,                  3.326,                 3.0004,              0.0015267,              0.0015267,              0.0015267
                     19,                 2.6972,                 2.7487,                 2.8964,                0.22501,                0.13635,                0.05225,                0.01564,                 2.6587,                 3.3377,                 2.9862,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.6248,                   2.79,                 2.9193,                 0.1767,                 0.1384,                0.08139,                0.02563,                 2.5669,                  2.953,                 2.8885,              0.0015102,              0.0015102,              0.0015102
                     21,                 2.6608,                 2.7208,                 2.8692,                0.22096,                0.15542,                0.11579,                 0.0381,                 2.5566,                 2.8138,                   2.83,               0.001502,               0.001502,               0.001502
                     22,                   2.64,                 2.6578,                 2.8064,                0.18656,                0.15586,                 0.0924,                0.02945,                 2.6225,                 2.8513,                 2.8724,              0.0014937,              0.0014937,              0.0014937
                     23,                 2.5835,                  2.616,                 2.7511,                0.16395,                0.14907,                0.09797,                0.03005,                 2.5836,                 2.9292,                 2.8512,              0.0014855,              0.0014855,              0.0014855
                     24,                 2.5487,                 2.6127,                 2.7339,                0.20598,                0.17687,                0.09686,                0.03163,                 2.6162,                   2.85,                 2.8426,              0.0014772,              0.0014772,              0.0014772
                     25,                 2.5141,                 2.5503,                 2.6894,                0.22578,                0.19092,                0.11258,                0.04233,                 2.4215,                 2.9036,                 2.7373,               0.001469,               0.001469,               0.001469
                     26,                 2.4813,                 2.5692,                 2.7093,                0.19774,                0.20277,                0.12621,                0.04501,                 2.4318,                 3.0088,                 2.7285,              0.0014607,              0.0014607,              0.0014607
                     27,                 2.4731,                 2.5512,                 2.6923,                0.20991,                0.20886,                0.14531,                0.05598,                 2.3367,                 2.8182,                 2.6361,              0.0014525,              0.0014525,              0.0014525
                     28,                 2.3872,                 2.4643,                 2.6102,                 0.2642,                0.23293,                 0.1748,                0.07321,                 2.3064,                 2.5763,                  2.594,              0.0014442,              0.0014442,              0.0014442
                     29,                 2.3922,                 2.4327,                 2.6077,                0.25669,                0.25785,                0.16447,                0.06414,                 2.2752,                 2.5287,                 2.5926,               0.001436,               0.001436,               0.001436
                     30,                 2.2888,                 2.3615,                 2.5359,                0.31308,                0.23149,                0.18791,                0.07886,                 2.2387,                 2.4648,                 2.5649,              0.0014277,              0.0014277,              0.0014277
                     31,                 2.3191,                 2.3864,                 2.5831,                0.30756,                0.24344,                0.17981,                0.07565,                 2.2434,                 2.4465,                 2.5565,              0.0014195,              0.0014195,              0.0014195
                     32,                 2.2701,                 2.3512,                   2.53,                0.28744,                0.26504,                0.18545,                0.07385,                 2.2541,                 2.4218,                 2.5474,              0.0014112,              0.0014112,              0.0014112
                     33,                 2.2361,                  2.239,                 2.4518,                0.35506,                0.25227,                0.20996,                0.08689,                  2.181,                 2.3864,                 2.5038,              0.0014029,              0.0014029,              0.0014029
                     34,                 2.2312,                 2.2156,                 2.4489,                0.32583,                0.24247,                0.20643,                0.09027,                 2.1639,                 2.3406,                 2.4533,              0.0013947,              0.0013947,              0.0013947
                     35,                 2.2306,                 2.2754,                 2.4672,                0.29734,                0.24329,                0.19765,                0.08347,                 2.2188,                 2.5292,                 2.5028,              0.0013864,              0.0013864,              0.0013864
                     36,                  2.247,                  2.276,                 2.4752,                0.29534,                0.26409,                0.20684,                 0.0887,                 2.2103,                 2.6281,                 2.4915,              0.0013782,              0.0013782,              0.0013782
                     37,                 2.2399,                  2.287,                 2.4738,                0.26959,                0.24065,                0.17469,                0.07195,                 2.2225,                 2.5635,                 2.4765,              0.0013699,              0.0013699,              0.0013699
                     38,                 2.1898,                 2.2725,                 2.4303,                0.35707,                0.26148,                0.24388,                0.10927,                 2.1213,                 2.4021,                 2.3878,              0.0013617,              0.0013617,              0.0013617
                     39,                 2.1968,                 2.2337,                  2.412,                0.31199,                0.28004,                0.21852,                0.08929,                 2.2054,                 2.5678,                 2.4444,              0.0013534,              0.0013534,              0.0013534
                     40,                 2.1782,                 2.1639,                 2.3829,                0.41317,                  0.257,                0.24733,                0.10464,                 2.1016,                 2.4913,                 2.3361,              0.0013452,              0.0013452,              0.0013452
                     41,                 2.1235,                 2.1465,                  2.342,                0.38284,                0.30739,                0.27659,                0.12448,                 2.0389,                 2.1944,                 2.3079,              0.0013369,              0.0013369,              0.0013369
                     42,                  2.122,                 2.1572,                 2.3247,                 0.3629,                0.29874,                0.26866,                 0.1258,                 2.0203,                 2.1853,                 2.2828,              0.0013287,              0.0013287,              0.0013287
                     43,                 2.0842,                 2.1467,                 2.3224,                 0.4178,                0.28336,                0.26168,                0.11453,                 2.1151,                 2.3171,                 2.3634,              0.0013204,              0.0013204,              0.0013204
                     44,                 2.1162,                 2.1048,                  2.333,                0.39594,                0.31186,                0.27564,                0.12852,                 2.0216,                 2.1618,                 2.2814,              0.0013122,              0.0013122,              0.0013122
                     45,                 2.0345,                 2.0326,                 2.2415,                0.38712,                0.33578,                0.29517,                0.13883,                 1.9531,                  2.133,                 2.2246,              0.0013039,              0.0013039,              0.0013039
